isin,symbol,session_date,open,high,low,close,volume,traded_value
INE002A01018,RELIANCE,2022-08-23,2594.0,2653.2,2591.35,2646.8,4466619.0,11750046560.2
INE002A01018,RELIANCE,2022-08-24,2640.1,2670.0,2635.35,2639.75,4785579.0,12676750456.45
INE002A01018,RELIANCE,2022-08-25,2648.95,2662.9,2622.6,2632.05,3632902.0,9622300857.85
INE002A01018,RELIANCE,2022-08-26,2633.0,2650.0,2607.0,2618.0,4957449.0,12999929105.55
INE002A01018,RELIANCE,2022-08-29,2585.0,2655.0,2578.05,2597.65,9155684.0,23936068091.8
INE002A01018,RELIANCE,2022-08-30,2614.0,2645.25,2576.6,2637.95,10678670.0,27921981356.7
INE002A01018,RELIANCE,2022-09-01,2582.65,2604.95,2550.7,2560.4,9188434.0,23707362824.55
INE002A01018,RELIANCE,2022-09-02,2560.4,2575.35,2525.7,2530.5,5999196.0,15275378547.55
INE002A01018,RELIANCE,2022-09-05,2531.0,2581.5,2531.0,2569.8,5227785.0,13403622183.4
INE002A01018,RELIANCE,2022-09-06,2573.0,2606.0,2572.0,2596.85,5030172.0,13041646173.55
INE002A01018,RELIANCE,2022-09-07,2575.0,2594.9,2570.0,2581.75,3455942.0,8919602471.35
INE002A01018,RELIANCE,2022-09-08,2588.25,2598.0,2571.0,2585.4,3256840.0,8414188239.0
INE002A01018,RELIANCE,2022-09-09,2610.0,2610.0,2564.0,2569.3,3837302.0,9891379842.8
INE002A01018,RELIANCE,2022-09-12,2570.55,2612.0,2570.55,2598.05,3431445.0,8909527157.5
INE002A01018,RELIANCE,2022-09-13,2618.0,2629.7,2601.0,2619.75,4102114.0,10735722213.8
INE002A01018,RELIANCE,2022-09-14,2575.0,2610.0,2572.75,2588.35,4004997.0,10393065929.1
INE002A01018,RELIANCE,2022-09-15,2583.0,2603.55,2556.75,2562.7,4783723.0,12312602615.9
INE002A01018,RELIANCE,2022-09-16,2543.75,2553.0,2491.0,2499.2,9330469.0,23414892723.8
INE002A01018,RELIANCE,2022-09-19,2499.2,2522.7,2481.35,2502.45,3498286.0,8767314647.0
INE002A01018,RELIANCE,2022-09-20,2522.45,2537.7,2494.7,2502.85,3881882.0,9775496109.2
INE002A01018,RELIANCE,2022-09-21,2496.75,2533.0,2495.0,2509.75,4249172.0,10687928437.35
INE002A01018,RELIANCE,2022-09-22,2486.0,2503.0,2472.1,2486.1,4757219.0,11839611958.3
INE002A01018,RELIANCE,2022-09-23,2485.0,2495.95,2436.1,2439.5,4397194.0,10798121356.15
INE002A01018,RELIANCE,2022-09-26,2394.05,2417.8,2375.15,2377.35,5759298.0,13776401753.7
INE002A01018,RELIANCE,2022-09-27,2394.0,2426.0,2360.1,2396.25,7455448.0,17823738488.0
INE002A01018,RELIANCE,2022-09-28,2360.35,2378.0,2327.1,2332.45,7844140.0,18461791856.3
INE002A01018,RELIANCE,2022-09-29,2360.0,2367.5,2313.0,2325.3,6771046.0,15807234115.85
INE002A01018,RELIANCE,2022-09-30,2311.0,2402.0,2311.0,2377.75,8589908.0,20371810194.0
INE002A01018,RELIANCE,2022-10-03,2391.5,2416.95,2363.0,2369.5,5470030.0,13029923334.8
INE002A01018,RELIANCE,2022-10-04,2397.8,2418.0,2390.15,2413.2,4129893.0,9939556462.2
INE002A01018,RELIANCE,2022-10-06,2429.0,2450.0,2418.15,2422.1,6162021.0,14996487081.5
INE002A01018,RELIANCE,2022-10-07,2414.65,2443.9,2414.65,2432.35,3560167.0,8657940132.2
INE002A01018,RELIANCE,2022-10-10,2405.0,2417.6,2388.0,2405.8,2921076.0,7019927774.65
INE002A01018,RELIANCE,2022-10-11,2414.0,2414.0,2351.1,2357.9,4252803.0,10112492555.1
INE002A01018,RELIANCE,2022-10-12,2352.0,2381.7,2343.1,2375.25,3422992.0,8105861297.4
INE002A01018,RELIANCE,2022-10-13,2371.4,2394.0,2360.1,2382.8,3382098.0,8047737069.2
INE002A01018,RELIANCE,2022-10-14,2415.0,2416.35,2369.1,2370.7,4202459.0,10054822904.25
INE002A01018,RELIANCE,2022-10-17,2355.0,2414.0,2343.6,2408.75,7720595.0,18344914890.0
INE002A01018,RELIANCE,2022-10-18,2422.0,2463.0,2420.15,2451.25,5729899.0,14040201497.4
INE002A01018,RELIANCE,2022-10-19,2454.5,2527.85,2441.7,2493.9,8882553.0,22202063579.3
INE002A01018,RELIANCE,2022-10-20,2485.0,2519.0,2485.0,2500.6,4022919.0,10068197552.85
INE002A01018,RELIANCE,2022-10-21,2507.7,2516.8,2467.0,2471.6,3804352.0,9478648257.95
INE002A01018,RELIANCE,2022-10-24,2460.0,2502.5,2455.3,2479.85,1555270.0,3859866818.15
INE002A01018,RELIANCE,2022-10-25,2499.0,2499.0,2438.0,2441.55,5645639.0,13918629427.8
INE002A01018,RELIANCE,2022-10-27,2458.0,2468.45,2432.8,2451.15,5774775.0,14141365856.2
INE002A01018,RELIANCE,2022-10-28,2465.0,2535.0,2459.45,2526.15,8126824.0,20383247305.2
INE002A01018,RELIANCE,2022-10-31,2541.0,2560.95,2532.2,2549.6,5731802.0,14606311320.1
INE002A01018,RELIANCE,2022-11-01,2600.0,2600.0,2508.0,2529.85,6443999.0,16391994975.9
INE002A01018,RELIANCE,2022-11-02,2532.3,2550.2,2515.0,2545.65,4145144.0,10510378542.4
INE002A01018,RELIANCE,2022-11-03,2529.85,2559.55,2525.05,2555.15,3089026.0,7867209428.75
INE002A01018,RELIANCE,2022-11-04,2553.9,2600.0,2551.1,2592.75,5803737.0,14988568897.45
INE002A01018,RELIANCE,2022-11-07,2591.0,2610.3,2574.0,2606.6,5440967.0,14124430758.45
INE002A01018,RELIANCE,2022-11-09,2610.3,2621.95,2590.05,2604.0,5193814.0,13558251214.2
INE002A01018,RELIANCE,2022-11-10,2590.0,2596.55,2563.0,2572.5,2753420.0,7092562040.1
INE002A01018,RELIANCE,2022-11-11,2600.0,2636.0,2588.0,2631.8,5681124.0,14853880989.55
INE002A01018,RELIANCE,2022-11-14,2630.75,2642.0,2605.15,2619.05,4173395.0,10952068321.5
INE002A01018,RELIANCE,2022-11-15,2622.3,2626.4,2590.0,2607.3,3270388.0,8514100480.75
INE002A01018,RELIANCE,2022-11-16,2610.0,2615.95,2581.35,2592.35,4484007.0,11666807298.05
INE002A01018,RELIANCE,2022-11-17,2584.95,2613.0,2580.0,2599.05,3074259.0,7991793077.85
INE002A01018,RELIANCE,2022-11-18,2606.75,2609.0,2571.1,2597.65,2447425.0,6337149845.85
INE002A01018,RELIANCE,2022-11-21,2588.0,2588.0,2543.1,2550.9,2949108.0,7538748417.35
INE002A01018,RELIANCE,2022-11-22,2545.0,2568.5,2536.5,2565.05,3051201.0,7801736581.0
INE002A01018,RELIANCE,2022-11-23,2575.0,2577.9,2552.25,2557.05,2959787.0,7580660698.9
INE002A01018,RELIANCE,2022-11-24,2566.0,2594.0,2548.2,2579.1,4333225.0,11110842573.85
INE002A01018,RELIANCE,2022-11-25,2589.0,2624.9,2582.1,2617.6,3391988.0,8837331953.3
INE002A01018,RELIANCE,2022-11-28,2608.9,2721.05,2502.0,2707.55,14549929.0,39081953191.85
INE002A01018,RELIANCE,2022-11-29,2703.95,2731.65,2694.0,2712.2,5103687.0,13847136356.65
INE002A01018,RELIANCE,2022-11-30,2712.5,2745.45,2698.2,2731.35,12075137.0,32929988867.0
INE002A01018,RELIANCE,2022-12-01,2741.8,2755.0,2716.0,2723.3,4377696.0,11990209635.6
INE002A01018,RELIANCE,2022-12-02,2730.0,2748.0,2700.6,2722.15,5348595.0,14575017227.75
INE002A01018,RELIANCE,2022-12-05,2712.0,2716.75,2678.0,2682.45,6843367.0,18439668158.05
INE002A01018,RELIANCE,2022-12-06,2665.1,2697.0,2661.0,2690.2,3966243.0,10651999752.8
INE002A01018,RELIANCE,2022-12-07,2685.0,2695.0,2642.15,2650.5,3905263.0,10408739251.4
INE002A01018,RELIANCE,2022-12-08,2660.0,2665.0,2640.1,2649.25,3579858.0,9492988488.55
INE002A01018,RELIANCE,2022-12-09,2646.0,2660.0,2601.85,2609.1,5840633.0,15346488528.0
INE002A01018,RELIANCE,2022-12-12,2585.5,2623.0,2585.0,2613.1,4374946.0,11406508900.6
INE002A01018,RELIANCE,2022-12-13,2613.1,2633.0,2606.7,2625.0,3845839.0,10083940253.45
INE002A01018,RELIANCE,2022-12-14,2637.65,2638.95,2611.0,2615.5,3354618.0,8791939261.6
INE002A01018,RELIANCE,2022-12-15,2602.5,2615.0,2571.0,2578.35,4009765.0,10388261664.65
INE002A01018,RELIANCE,2022-12-16,2571.0,2618.8,2558.15,2565.6,7308934.0,18882367676.1
INE002A01018,RELIANCE,2022-12-19,2581.0,2604.0,2566.7,2599.3,3567363.0,9214319519.75
INE002A01018,RELIANCE,2022-12-20,2583.9,2626.0,2566.0,2621.8,3446291.0,8942420886.85
INE002A01018,RELIANCE,2022-12-21,2621.0,2633.0,2576.1,2584.5,3935463.0,10236889380.75
INE002A01018,RELIANCE,2022-12-22,2598.0,2604.65,2566.75,2577.8,3438692.0,8880581065.9
INE002A01018,RELIANCE,2022-12-23,2563.3,2590.5,2492.25,2502.2,4733657.0,12023588105.45
INE002A01018,RELIANCE,2022-12-26,2514.75,2542.0,2492.4,2524.05,2764496.0,6977059265.3
INE002A01018,RELIANCE,2022-12-27,2530.0,2548.8,2515.25,2544.7,2659749.0,6741452650.05
INE002A01018,RELIANCE,2022-12-28,2538.0,2549.8,2521.5,2544.45,3442509.0,8735979365.75
INE002A01018,RELIANCE,2022-12-29,2527.0,2548.9,2525.5,2543.3,3198493.0,8114144680.25
INE002A01018,RELIANCE,2022-12-30,2545.1,2577.0,2541.1,2547.2,3364092.0,8611163857.75
INE002A01018,RELIANCE,2023-01-02,2550.0,2579.0,2548.2,2575.9,2453414.0,6292210762.05
INE002A01018,RELIANCE,2023-01-03,2565.05,2573.0,2547.8,2557.05,3534596.0,9043199290.7
INE002A01018,RELIANCE,2023-01-04,2557.0,2561.05,2514.0,2518.55,4275746.0,10816399502.15
INE002A01018,RELIANCE,2023-01-05,2523.5,2536.4,2504.0,2514.05,6293519.0,15837639744.3
INE002A01018,RELIANCE,2023-01-06,2526.65,2547.95,2518.3,2536.9,2930338.0,7428125091.15
INE002A01018,RELIANCE,2023-01-09,2545.3,2602.0,2543.35,2596.8,4948549.0,12779628419.65
INE002A01018,RELIANCE,2023-01-10,2606.0,2606.0,2546.0,2558.4,3713755.0,9539991868.55
